time,event_type,floor,destination,direction,elevator_id,details
0.03,passenger_generated,6,7,UP,,Passenger P_5_3
0.08,passenger_generated,1,6,UP,,Passenger P_0_8
0.72,passenger_generated,5,1,DOWN,,Passenger P_4_71
0.04,elevator_moved,1,,,Elevator_1,"Direction: IDLE, From: F1, Passengers: 0"
0.04,elevator_moved,2,,,Elevator_2,"Direction: UP, From: F1, Passengers: 0"
0.04,elevator_moved,2,,,Elevator_3,"Direction: UP, From: F1, Passengers: 0"
1.05,passenger_boarded,1,6,UP,Elevator_1,Current load: 1
1.15,passenger_generated,6,2,DOWN,,Passenger P_5_114
1.08,elevator_moved,2,,,Elevator_1,"Direction: UP, From: F1, Passengers: 1"
1.08,elevator_moved,3,,,Elevator_2,"Direction: UP, From: F2, Passengers: 0"
1.08,elevator_moved,2,,,Elevator_3,"Direction: IDLE, From: F2, Passengers: 0"
2.12,elevator_moved,3,,,Elevator_1,"Direction: UP, From: F2, Passengers: 1"
2.12,elevator_moved,4,,,Elevator_2,"Direction: UP, From: F3, Passengers: 0"
2.12,elevator_moved,2,,,Elevator_3,"Direction: IDLE, From: F2, Passengers: 0"
3.62,passenger_generated,2,3,UP,,Passenger P_1_362
3.88,passenger_generated,8,2,DOWN,,Passenger P_7_388
3.16,elevator_moved,4,,,Elevator_1,"Direction: UP, From: F3, Passengers: 1"
3.16,elevator_moved,5,,,Elevator_2,"Direction: UP, From: F4, Passengers: 0"
3.16,elevator_moved,2,,,Elevator_3,"Direction: IDLE, From: F2, Passengers: 0"
4.19,passenger_boarded,2,3,UP,Elevator_3,Current load: 1
4.42,passenger_generated,2,6,UP,,Passenger P_1_441
4.77,passenger_generated,1,8,UP,,Passenger P_0_477
5.01,passenger_generated,1,4,UP,,Passenger P_0_501
5.11,passenger_generated,5,1,DOWN,,Passenger P_4_510
4.20,elevator_moved,5,,,Elevator_1,"Direction: UP, From: F4, Passengers: 1"
4.20,elevator_moved,6,,,Elevator_2,"Direction: UP, From: F5, Passengers: 0"
4.20,elevator_moved,3,,,Elevator_3,"Direction: UP, From: F2, Passengers: 1"
4.20,passenger_alighted,3,,,Elevator_3,Remaining load: 0
5.22,passenger_boarded,6,7,UP,Elevator_2,Current load: 1
5.74,passenger_generated,4,7,UP,,Passenger P_3_574
5.90,passenger_generated,6,3,DOWN,,Passenger P_5_590
5.24,elevator_moved,6,,,Elevator_1,"Direction: UP, From: F5, Passengers: 1"
5.24,passenger_alighted,6,,,Elevator_1,Remaining load: 0
5.24,elevator_moved,7,,,Elevator_2,"Direction: UP, From: F6, Passengers: 1"
5.24,passenger_alighted,7,,,Elevator_2,Remaining load: 0
5.24,elevator_moved,2,,,Elevator_3,"Direction: DOWN, From: F3, Passengers: 0"
6.25,passenger_boarded,6,2,DOWN,Elevator_1,Current load: 2
6.25,passenger_boarded,6,3,DOWN,Elevator_1,Current load: 2
6.81,passenger_generated,1,5,UP,,Passenger P_0_680
6.28,elevator_moved,5,,,Elevator_1,"Direction: DOWN, From: F6, Passengers: 2"
6.28,elevator_moved,8,,,Elevator_2,"Direction: UP, From: F7, Passengers: 0"
6.28,elevator_moved,2,,,Elevator_3,"Direction: IDLE, From: F2, Passengers: 0"
7.29,passenger_boarded,5,1,DOWN,Elevator_1,Current load: 4
7.29,passenger_boarded,5,1,DOWN,Elevator_1,Current load: 4
7.66,passenger_generated,7,5,DOWN,,Passenger P_6_766
7.32,elevator_moved,4,,,Elevator_1,"Direction: DOWN, From: F5, Passengers: 4"
7.32,elevator_moved,8,,,Elevator_2,"Direction: IDLE, From: F8, Passengers: 0"
7.32,elevator_moved,1,,,Elevator_3,"Direction: DOWN, From: F2, Passengers: 0"
8.34,passenger_boarded,8,2,DOWN,Elevator_2,Current load: 1
8.35,passenger_boarded,1,8,UP,Elevator_3,Current load: 3
8.35,passenger_boarded,1,4,UP,Elevator_3,Current load: 3
8.35,passenger_boarded,1,5,UP,Elevator_3,Current load: 3
9.17,passenger_generated,7,8,UP,,Passenger P_6_917
8.36,elevator_moved,3,,,Elevator_1,"Direction: DOWN, From: F4, Passengers: 4"
8.36,passenger_alighted,3,,,Elevator_1,Remaining load: 3
8.36,elevator_moved,7,,,Elevator_2,"Direction: DOWN, From: F8, Passengers: 1"
8.36,elevator_moved,2,,,Elevator_3,"Direction: UP, From: F1, Passengers: 3"
9.38,passenger_boarded,7,5,DOWN,Elevator_2,Current load: 2
9.39,passenger_boarded,2,6,UP,Elevator_3,Current load: 4
9.40,elevator_moved,2,,,Elevator_1,"Direction: DOWN, From: F3, Passengers: 3"
9.40,passenger_alighted,2,,,Elevator_1,Remaining load: 2
9.40,elevator_moved,6,,,Elevator_2,"Direction: DOWN, From: F7, Passengers: 2"
9.40,elevator_moved,3,,,Elevator_3,"Direction: UP, From: F2, Passengers: 4"
10.80,passenger_generated,5,2,DOWN,,Passenger P_4_1079
10.44,elevator_moved,1,,,Elevator_1,"Direction: DOWN, From: F2, Passengers: 2"
10.44,passenger_alighted,1,,,Elevator_1,Remaining load: 0
10.44,passenger_alighted,1,,,Elevator_1,Remaining load: 0
10.44,elevator_moved,5,,,Elevator_2,"Direction: DOWN, From: F6, Passengers: 2"
10.44,passenger_alighted,5,,,Elevator_2,Remaining load: 1
10.44,elevator_moved,4,,,Elevator_3,"Direction: UP, From: F3, Passengers: 4"
10.44,passenger_alighted,4,,,Elevator_3,Remaining load: 3
11.46,passenger_boarded,5,2,DOWN,Elevator_2,Current load: 2
11.47,passenger_boarded,4,7,UP,Elevator_3,Current load: 4
11.48,elevator_moved,1,,,Elevator_1,"Direction: IDLE, From: F1, Passengers: 0"
11.48,elevator_moved,4,,,Elevator_2,"Direction: DOWN, From: F5, Passengers: 2"
11.48,elevator_moved,5,,,Elevator_3,"Direction: UP, From: F4, Passengers: 4"
11.48,passenger_alighted,5,,,Elevator_3,Remaining load: 3
12.52,elevator_moved,1,,,Elevator_1,"Direction: IDLE, From: F1, Passengers: 0"
12.52,elevator_moved,3,,,Elevator_2,"Direction: DOWN, From: F4, Passengers: 2"
12.52,elevator_moved,6,,,Elevator_3,"Direction: UP, From: F5, Passengers: 3"
12.52,passenger_alighted,6,,,Elevator_3,Remaining load: 2
14.30,passenger_generated,4,2,DOWN,,Passenger P_3_1429
13.56,elevator_moved,1,,,Elevator_1,"Direction: IDLE, From: F1, Passengers: 0"
13.56,elevator_moved,2,,,Elevator_2,"Direction: DOWN, From: F3, Passengers: 2"
13.56,passenger_alighted,2,,,Elevator_2,Remaining load: 0
13.56,passenger_alighted,2,,,Elevator_2,Remaining load: 0
13.56,elevator_moved,7,,,Elevator_3,"Direction: UP, From: F6, Passengers: 2"
13.56,passenger_alighted,7,,,Elevator_3,Remaining load: 1
14.59,passenger_boarded,7,8,UP,Elevator_3,Current load: 2
